52002578;COLEGIO ESTADUAL MAJOR JOAO LEITE ORTIZ DE CAMARGO;FAINA;URBANA;PUBLICA;76740-000;(62) 9194-7199;-15.52723;-50.16104
52002586;COLEGIO ALTERNATIVO - COOPECIGO;GOIAS;URBANA;PRIVADA;76600-000;(62) 3371-1986;-15.94125;-50.13442
52002594;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSOR ALCIDES JUBE;GOIAS;URBANA;PUBLICA;76600-000;(62) 9284-7388;-15.93365;-50.13867
52002608;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS UNIDADE JOAO AUGUSTO PERILLO;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-4649;-15.94081;-50.14383
52002624;ESCOLA MUNICIPAL JARDIM DE INFANCIA PROF TEREZINHA VIGGIANO MENDES;GOIAS;URBANA;PUBLICA;76600-000;;-15.92837;-50.14514
52002659;ESCOLA MUNICIPAL CORA CORALINA;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-2671;-15.94136;-50.15263
52002705;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MESTRE NHOLA;GOIAS;URBANA;PUBLICA;76600-000;;-15.93675;-50.14338
52002730;ESCOLA LAR SAO JOSE;GOIAS;URBANA;PRIVADA;76600-000;(62) 3371-1426;-15.93603;-50.14172
52003051;LYCEU DE GOYAZ PROFESSOR ALCIDE JUBE;GOIAS;URBANA;PUBLICA;76600-000;(62) 8434-0187;-15.93425;-50.14151
52003078;OFICINA EDC COMUN ELIDIA M SANTILLO;GOIAS;URBANA;PUBLICA;76600-000;(62) 3372-1313;;
52003086;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DONA GERCINA BORGES TEIXEIRA;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-7706;-15.93664;-50.14998
52003108;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SAO BENTO;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-2672;-15.94588;-50.12898
52003116;CENTRO MUNICIPAL DE EDUCACAO INFANTIL TIA ANITA;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-7706;-15.92844;-50.14552
52003124;ESCOLA MUNICIPAL SONHO INFANTIL;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-7010;-15.93214;-50.14247
52003388;ESCOLA MUNICIPAL POVOADO SAO JOAO;GOIAS;URBANA;PUBLICA;76610-000;(62) 3305-1159;-15.64613;-50.58507
52003396;COLEGIO ESTADUAL WALTER ENGEL;GOIAS;URBANA;PUBLICA;76600-000;(62) 9992-1479;-15.90199;-50.43966
52003434;ESCOLA MUNICIPAL PINGO DE GENTE;GOIAS;URBANA;PUBLICA;76600-000;(62) 3371-7706;-15.89934;-50.43945
52003442;COLEGIO ESTADUAL ILIDIA MARIA PERILLO CAIADO;ITAPIRAPUA;URBANA;PUBLICA;76290-000;(62) 8447-8924;-15.81796;-50.60868
52003477;ESCOLA ESTADUAL DESEMBARGADOR MARIO CAIADO;ITAPIRAPUA;URBANA;PUBLICA;76290-000;(62) 8566-7573;-15.82289;-50.61636
52003485;CENTRO DE ENSINO EM PERIODO INTEGRAL NICO DE BARROS;ITAPIRAPUA;URBANA;PUBLICA;76290-000;;-15.82948;-50.60711
52003574;ESC MUL ELIANA MARIA M PEDRESCHI;ITAPIRAPUA;RURAL;PUBLICA;76290-000;(62) 3374-1221;-15.53219;-50.72438
52003680;ESC MUL SEBASTIANA SARDINHA COSTA;ITAPIRAPUA;URBANA;PUBLICA;76290-000;;-15.82188;-50.60092
